Sample	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_gc
PAX2-Thaw-1x_S1_merge_R1	18.1818181818	74.7182265131	44.4793856959	9897812.0	58.0
PAX2-Thaw-1x_S1_merge_R2	18.1818181818	74.5952003332	48.2625614859	9897812.0	58.0
PAX2-Thaw-2x_S3_merge_R1	18.1818181818	74.7235753021	49.8718248499	11726416.0	58.0
PAX2-Thaw-2x_S3_merge_R2	27.2727272727	74.5938833314	54.5266121848	11726416.0	58.0
PAX3-Thaw-1x_S2_merge_R1	27.2727272727	74.7487313504	58.4744439119	12994920.0	59.0
PAX3-Thaw-1x_S2_merge_R2	27.2727272727	74.5896084008	62.5751483035	12994920.0	59.0
PAX3-Thaw-2x_S4_merge_R1	27.2727272727	74.7517706459	57.7513927759	9317645.0	60.0
PAX3-Thaw-2x_S4_merge_R2	36.3636363636	74.5931672649	63.2352934931	9317645.0	60.0
Rat-Liver_S6_merge_R1	9.09090909091	74.5779854475	34.2057315474	12808909.0	50.0
Rat-Liver_S6_merge_R2	9.09090909091	74.5535302812	37.4619051229	12808909.0	50.0
Rat-Muscle_S5_merge_R1	9.09090909091	74.5847730924	36.1838416131	12257433.0	51.0
Rat-Muscle_S5_merge_R2	9.09090909091	74.5604150559	40.4711830264	12257433.0	51.0
Rat-White-Adipose1_S7_merge_R1	9.09090909091	74.5880320883	26.292085148	15500365.0	50.0
Rat-White-Adipose1_S7_merge_R2	9.09090909091	74.5458470172	30.6894486148	15500365.0	50.0
Rat-White-Adipose2_S8_merge_R1	9.09090909091	74.5901019387	24.7605877713	11132968.0	51.0
Rat-White-Adipose2_S8_merge_R2	9.09090909091	74.5492121238	30.0999875	11132968.0	50.0
Undetermined_S0_merge_R1	27.2727272727	74.6817130737	26.297164912	21487389.0	64.0
Undetermined_S0_merge_R2	27.2727272727	74.6410240444	23.7697684362	21487389.0	63.0
