Sample	sum_pct_n	mean_pct_t	sum_pct_g	sum_pct_a	sum_pct_c	mean_pct_a	sum_pct_t	mean_pct_c	cycle_count	mean_pct_g
PAX2-Thaw-1x_S1_R1	0.016247	19.9571625467	2065.481124	1599.895675	2337.819749	21.3319423333	1496.787191	31.1709299867	75	27.53974832
PAX2-Thaw-1x_S1_R2	0.086093	20.3834784267	2036.965113	1563.53352	2370.654389	20.8471136	1528.760882	31.6087251867	75	27.15953484
PAX2-Thaw-2x_S3_R1	0.016296	19.81009108	2068.981486	1589.050996	2356.194388	21.1873466133	1485.756831	31.4159251733	75	27.5864198133
PAX2-Thaw-2x_S3_R2	0.100047	20.3514574	2022.835281	1560.121551	2390.583811	20.80162068	1526.359305	31.8744508133	75	26.97113708
PAX3-Thaw-1x_S2_R1	0.017087	19.2379285467	2103.613226	1560.372159	2393.152905	20.80496212	1442.844641	31.9087054	75	28.0481763467
PAX3-Thaw-1x_S2_R2	0.101844	19.6813592533	2046.073509	1532.963354	2444.759352	20.4395113867	1476.101944	32.59679136	75	27.28098012
PAX3-Thaw-2x_S4_R1	0.017046	19.1634002267	2109.70559	1551.833355	2401.188994	20.6911114	1437.255017	32.0158532533	75	28.1294078667
PAX3-Thaw-2x_S4_R2	0.102551	19.58237164	2046.231943	1525.180252	2459.807383	20.3357366933	1468.677873	32.7974317733	75	27.2830925733
Rat-Liver_S6_R1	0.01651	24.76039604	1857.576291	1856.69345	1928.684047	24.7559126667	1857.029703	25.7157872933	75	24.76768388
Rat-Liver_S6_R2	0.088569	25.17285732	1868.379407	1856.677036	1886.890686	24.7556938133	1887.964299	25.15854248	75	24.9117254267
Rat-Muscle_S5_R1	0.016264	23.2462190533	1904.940656	1854.871033	1996.705617	24.7316137733	1743.466429	26.62274156	75	25.3992087467
Rat-Muscle_S5_R2	0.105822	23.6920011067	1913.369323	1853.395962	1956.228807	24.71194616	1776.900083	26.08305076	75	25.5115909733
Rat-White-Adipose1_S7_R1	0.01625	24.3283529467	1877.152365	1853.066692	1945.138224	24.7075558933	1824.626471	25.93517632	75	25.0286982
Rat-White-Adipose1_S7_R2	0.094638	24.55934272	1886.17066	1861.655264	1910.128736	24.8220701867	1841.950704	25.4683831467	75	25.1489421333
Rat-White-Adipose2_S8_R1	0.016019	24.2055740267	1881.92365	1848.42382	1954.218463	24.6456509333	1815.418052	26.0562461733	75	25.0923153333
Rat-White-Adipose2_S8_R2	0.096386	24.5168702533	1893.656884	1852.22301	1915.258447	24.6963068	1838.765269	25.5367792933	75	25.2487584533
