Module	Section	Sample Name	Source
FastQC	all_sections	PAX3-Thaw-2x_S4_merge_R1	/labs/smontgom/xin/motrpac/fastqc/PAX3-Thaw-2x_S4_merge_R1_fastqc.zip
FastQC	all_sections	PAX3-Thaw-1x_S2_merge_R2	/labs/smontgom/xin/motrpac/fastqc/PAX3-Thaw-1x_S2_merge_R2_fastqc.zip
FastQC	all_sections	PAX2-Thaw-2x_S3_merge_R2	/labs/smontgom/xin/motrpac/fastqc/PAX2-Thaw-2x_S3_merge_R2_fastqc.zip
FastQC	all_sections	Rat-Muscle_S5_merge_R2	/labs/smontgom/xin/motrpac/fastqc/Rat-Muscle_S5_merge_R2_fastqc.zip
FastQC	all_sections	PAX3-Thaw-2x_S4_merge_R2	/labs/smontgom/xin/motrpac/fastqc/PAX3-Thaw-2x_S4_merge_R2_fastqc.zip
FastQC	all_sections	Rat-Muscle_S5_merge_R1	/labs/smontgom/xin/motrpac/fastqc/Rat-Muscle_S5_merge_R1_fastqc.zip
FastQC	all_sections	Rat-Liver_S6_merge_R1	/labs/smontgom/xin/motrpac/fastqc/Rat-Liver_S6_merge_R1_fastqc.zip
FastQC	all_sections	PAX3-Thaw-1x_S2_merge_R1	/labs/smontgom/xin/motrpac/fastqc/PAX3-Thaw-1x_S2_merge_R1_fastqc.zip
FastQC	all_sections	Rat-Liver_S6_merge_R2	/labs/smontgom/xin/motrpac/fastqc/Rat-Liver_S6_merge_R2_fastqc.zip
FastQC	all_sections	Undetermined_S0_merge_R1	/labs/smontgom/xin/motrpac/fastqc/Undetermined_S0_merge_R1_fastqc.zip
FastQC	all_sections	Undetermined_S0_merge_R2	/labs/smontgom/xin/motrpac/fastqc/Undetermined_S0_merge_R2_fastqc.zip
FastQC	all_sections	PAX2-Thaw-1x_S1_merge_R1	/labs/smontgom/xin/motrpac/fastqc/PAX2-Thaw-1x_S1_merge_R1_fastqc.zip
FastQC	all_sections	PAX2-Thaw-2x_S3_merge_R1	/labs/smontgom/xin/motrpac/fastqc/PAX2-Thaw-2x_S3_merge_R1_fastqc.zip
FastQC	all_sections	PAX2-Thaw-1x_S1_merge_R2	/labs/smontgom/xin/motrpac/fastqc/PAX2-Thaw-1x_S1_merge_R2_fastqc.zip
FastQC	all_sections	Rat-White-Adipose1_S7_merge_R1	/labs/smontgom/xin/motrpac/fastqc/Rat-White-Adipose1_S7_merge_R1_fastqc.zip
FastQC	all_sections	Rat-White-Adipose2_S8_merge_R2	/labs/smontgom/xin/motrpac/fastqc/Rat-White-Adipose2_S8_merge_R2_fastqc.zip
FastQC	all_sections	Rat-White-Adipose2_S8_merge_R1	/labs/smontgom/xin/motrpac/fastqc/Rat-White-Adipose2_S8_merge_R1_fastqc.zip
FastQC	all_sections	Rat-White-Adipose1_S7_merge_R2	/labs/smontgom/xin/motrpac/fastqc/Rat-White-Adipose1_S7_merge_R2_fastqc.zip
