Sample	STAR_mqc-generalstats-uniquely_mapped_percent	Rsem_mqc-generalstats-alignable_percent	Picard_mqc-generalstats-PCT_PF_READS_ALIGNED	Picard_mqc-generalstats-PERCENT_DUPLICATION	Picard_mqc-generalstats-summed_median	STAR_mqc-generalstats-uniquely_mapped	Picard_mqc-generalstats-summed_mean	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_gc
PAX2-Thaw-1x_S1	55.89	88.6832925485	0.909035	0.682749	172	5532307.0	247.892507					
PAX2-Thaw-1x_S1_merge_R1								18.1818181818	74.7182265131	44.4793856959	9897812.0	58.0
PAX2-Thaw-1x_S1_merge_R2								18.1818181818	74.5952003332	48.2625614859	9897812.0	58.0
PAX2-Thaw-2x_S3	55.89	90.6718664293	0.923284	0.736004	181	6554148.0	251.766288					
PAX2-Thaw-2x_S3_merge_R1								18.1818181818	74.7235753021	49.8718248499	11726416.0	58.0
PAX2-Thaw-2x_S3_merge_R2								27.2727272727	74.5938833314	54.5266121848	11726416.0	58.0
PAX3-Thaw-1x_S2	51.53	89.5431898797	0.914059	0.835108	215	6696931.0	280.362383					
PAX3-Thaw-1x_S2_merge_R1								27.2727272727	74.7487313504	58.4744439119	12994920.0	59.0
PAX3-Thaw-1x_S2_merge_R2								27.2727272727	74.5896084008	62.5751483035	12994920.0	59.0
PAX3-Thaw-2x_S4	51.51	90.9930708129	0.925644	0.825994	212	4799955.0	277.305385					
PAX3-Thaw-2x_S4_merge_R1								27.2727272727	74.7517706459	57.7513927759	9317645.0	60.0
PAX3-Thaw-2x_S4_merge_R2								36.3636363636	74.5931672649	63.2352934931	9317645.0	60.0
Rat-Liver_S6	84.04	87.3906067505	0.908888	0.436151	133	10764179.0	214.550368					
Rat-Liver_S6_merge_R1								9.09090909091	74.5779854475	34.2057315474	12808909.0	50.0
Rat-Liver_S6_merge_R2								9.09090909091	74.5535302812	37.4619051229	12808909.0	50.0
Rat-Muscle_S5	82.69	85.6968528919	0.89884	0.431328	138	10135766.0	203.269583					
Rat-Muscle_S5_merge_R1								9.09090909091	74.5847730924	36.1838416131	12257433.0	51.0
Rat-Muscle_S5_merge_R2								9.09090909091	74.5604150559	40.4711830264	12257433.0	51.0
Rat-White-Adipose1_S7	82.38	84.6711158688	0.897187	0.4143	126	12768427.0	156.519269					
Rat-White-Adipose1_S7_merge_R1								9.09090909091	74.5880320883	26.292085148	15500365.0	50.0
Rat-White-Adipose1_S7_merge_R2								9.09090909091	74.5458470172	30.6894486148	15500365.0	50.0
Rat-White-Adipose2_S8	82.44	85.2341823266	0.899788	0.427192	122	9178451.0	151.35484					
Rat-White-Adipose2_S8_merge_R1								9.09090909091	74.5901019387	24.7605877713	11132968.0	51.0
Rat-White-Adipose2_S8_merge_R2								9.09090909091	74.5492121238	30.0999875	11132968.0	50.0
Undetermined_S0_merge_R1								27.2727272727	74.6817130737	26.297164912	21487389.0	64.0
Undetermined_S0_merge_R2								27.2727272727	74.6410240444	23.7697684362	21487389.0	63.0
