Module	Section	Sample Name	Source
FastQC	all_sections	PAX3-Thaw-2x_S4_merge_R1	/home/xli6/projects/motrpac/fastqc/output/PAX3-Thaw-2x_S4_merge_R1_fastqc.zip
FastQC	all_sections	PAX3-Thaw-1x_S2_merge_R2	/home/xli6/projects/motrpac/fastqc/output/PAX3-Thaw-1x_S2_merge_R2_fastqc.zip
FastQC	all_sections	PAX2-Thaw-2x_S3_merge_R2	/home/xli6/projects/motrpac/fastqc/output/PAX2-Thaw-2x_S3_merge_R2_fastqc.zip
FastQC	all_sections	Rat-Muscle_S5_merge_R2	/home/xli6/projects/motrpac/fastqc/output/Rat-Muscle_S5_merge_R2_fastqc.zip
FastQC	all_sections	PAX3-Thaw-2x_S4_merge_R2	/home/xli6/projects/motrpac/fastqc/output/PAX3-Thaw-2x_S4_merge_R2_fastqc.zip
FastQC	all_sections	Rat-Muscle_S5_merge_R1	/home/xli6/projects/motrpac/fastqc/output/Rat-Muscle_S5_merge_R1_fastqc.zip
FastQC	all_sections	Rat-Liver_S6_merge_R1	/home/xli6/projects/motrpac/fastqc/output/Rat-Liver_S6_merge_R1_fastqc.zip
FastQC	all_sections	PAX3-Thaw-1x_S2_merge_R1	/home/xli6/projects/motrpac/fastqc/output/PAX3-Thaw-1x_S2_merge_R1_fastqc.zip
FastQC	all_sections	Rat-Liver_S6_merge_R2	/home/xli6/projects/motrpac/fastqc/output/Rat-Liver_S6_merge_R2_fastqc.zip
FastQC	all_sections	Undetermined_S0_merge_R1	/home/xli6/projects/motrpac/fastqc/output/Undetermined_S0_merge_R1_fastqc.zip
FastQC	all_sections	Undetermined_S0_merge_R2	/home/xli6/projects/motrpac/fastqc/output/Undetermined_S0_merge_R2_fastqc.zip
FastQC	all_sections	PAX2-Thaw-1x_S1_merge_R1	/home/xli6/projects/motrpac/fastqc/output/PAX2-Thaw-1x_S1_merge_R1_fastqc.zip
FastQC	all_sections	PAX2-Thaw-2x_S3_merge_R1	/home/xli6/projects/motrpac/fastqc/output/PAX2-Thaw-2x_S3_merge_R1_fastqc.zip
FastQC	all_sections	PAX2-Thaw-1x_S1_merge_R2	/home/xli6/projects/motrpac/fastqc/output/PAX2-Thaw-1x_S1_merge_R2_fastqc.zip
FastQC	all_sections	Rat-White-Adipose1_S7_merge_R1	/home/xli6/projects/motrpac/fastqc/output/Rat-White-Adipose1_S7_merge_R1_fastqc.zip
FastQC	all_sections	Rat-White-Adipose2_S8_merge_R2	/home/xli6/projects/motrpac/fastqc/output/Rat-White-Adipose2_S8_merge_R2_fastqc.zip
FastQC	all_sections	Rat-White-Adipose2_S8_merge_R1	/home/xli6/projects/motrpac/fastqc/output/Rat-White-Adipose2_S8_merge_R1_fastqc.zip
FastQC	all_sections	Rat-White-Adipose1_S7_merge_R2	/home/xli6/projects/motrpac/fastqc/output/Rat-White-Adipose1_S7_merge_R2_fastqc.zip
Picard	InsertSizeMetrics	Rat-White-Adipose2_S8	/home/xli6/projects/motrpac/picard/picard_output/Rat-White-Adipose2_S8.Aligned.sortedByCoord_multiple_metrics.txt.insert_size_metrics
Picard	InsertSizeMetrics	Rat-Liver_S6	/home/xli6/projects/motrpac/picard/picard_output/Rat-Liver_S6.Aligned.sortedByCoord_multiple_metrics.txt.insert_size_metrics
Picard	InsertSizeMetrics	Rat-Muscle_S5	/home/xli6/projects/motrpac/picard/picard_output/Rat-Muscle_S5.Aligned.sortedByCoord_multiple_metrics.txt.insert_size_metrics
Picard	InsertSizeMetrics	PAX2-Thaw-2x_S3	/home/xli6/projects/motrpac/picard/picard_output/PAX2-Thaw-2x_S3.Aligned.sortedByCoord_multiple_metrics.txt.insert_size_metrics
Picard	InsertSizeMetrics	Rat-White-Adipose1_S7	/home/xli6/projects/motrpac/picard/picard_output/Rat-White-Adipose1_S7.Aligned.sortedByCoord_multiple_metrics.txt.insert_size_metrics
Picard	InsertSizeMetrics	PAX3-Thaw-1x_S2	/home/xli6/projects/motrpac/picard/picard_output/PAX3-Thaw-1x_S2.Aligned.sortedByCoord_multiple_metrics.txt.insert_size_metrics
Picard	InsertSizeMetrics	PAX3-Thaw-2x_S4	/home/xli6/projects/motrpac/picard/picard_output/PAX3-Thaw-2x_S4.Aligned.sortedByCoord_multiple_metrics.txt.insert_size_metrics
Picard	InsertSizeMetrics	PAX2-Thaw-1x_S1	/home/xli6/projects/motrpac/picard/picard_output/PAX2-Thaw-1x_S1.Aligned.sortedByCoord_multiple_metrics.txt.insert_size_metrics
Picard	AlignmentSummaryMetrics	Rat-White-Adipose2_S8	/home/xli6/projects/motrpac/picard/picard_output/Rat-White-Adipose2_S8.Aligned.sortedByCoord_multiple_metrics.txt.alignment_summary_metrics
Picard	AlignmentSummaryMetrics	Rat-Liver_S6	/home/xli6/projects/motrpac/picard/picard_output/Rat-Liver_S6.Aligned.sortedByCoord_multiple_metrics.txt.alignment_summary_metrics
Picard	AlignmentSummaryMetrics	PAX3-Thaw-2x_S4	/home/xli6/projects/motrpac/picard/picard_output/PAX3-Thaw-2x_S4.Aligned.sortedByCoord_multiple_metrics.txt.alignment_summary_metrics
Picard	AlignmentSummaryMetrics	PAX2-Thaw-2x_S3	/home/xli6/projects/motrpac/picard/picard_output/PAX2-Thaw-2x_S3.Aligned.sortedByCoord_multiple_metrics.txt.alignment_summary_metrics
Picard	AlignmentSummaryMetrics	Rat-White-Adipose1_S7	/home/xli6/projects/motrpac/picard/picard_output/Rat-White-Adipose1_S7.Aligned.sortedByCoord_multiple_metrics.txt.alignment_summary_metrics
Picard	AlignmentSummaryMetrics	PAX3-Thaw-1x_S2	/home/xli6/projects/motrpac/picard/picard_output/PAX3-Thaw-1x_S2.Aligned.sortedByCoord_multiple_metrics.txt.alignment_summary_metrics
Picard	AlignmentSummaryMetrics	Rat-Muscle_S5	/home/xli6/projects/motrpac/picard/picard_output/Rat-Muscle_S5.Aligned.sortedByCoord_multiple_metrics.txt.alignment_summary_metrics
Picard	AlignmentSummaryMetrics	PAX2-Thaw-1x_S1	/home/xli6/projects/motrpac/picard/picard_output/PAX2-Thaw-1x_S1.Aligned.sortedByCoord_multiple_metrics.txt.alignment_summary_metrics
